"symbol","name","market_cap","sector","industry","exchange"
"BVA","Cordia Bancorp Inc.","11135962.8","n/a","n/a","nasdaq"
"BWOW","Wowjoint Holdings Limited","3065695.6732","Capital Goods","Construction/Ag Equipment/Trucks","nasdaq"
"BWOWU","Wowjoint Holdings Limited","0","Capital Goods","Construction/Ag Equipment/Trucks","nasdaq"
"BWOWW","Wowjoint Holdings Limited","0","Capital Goods","Construction/Ag Equipment/Trucks","nasdaq"
"CACG","Chart Acquisition Corp.","93015000","Finance","Business Services","nasdaq"
"CACGU","Chart Acquisition Corp.","0","Finance","Business Services","nasdaq"
"CACGW","Chart Acquisition Corp.","0","Finance","Business Services","nasdaq"
"CBOU","Caribou Coffee Company, Inc.","242687496.84","Consumer Services","Restaurants","nasdaq"
"CCCLU","China Ceramics Co., Ltd.","0","Capital Goods","Building Materials","nasdaq"
"CCCLW","China Ceramics Co., Ltd.","0","Capital Goods","Building Materials","nasdaq"
"CCRT","CompuCredit Holdings Corporation","92300330.4284","Finance","Finance: Consumer Services","nasdaq"
"CEBK","Central Bancorp, Inc","53484780.13","Finance","Major Banks","nasdaq"
"CEDC","Central European Distribution Corporation","221550178.8","Consumer Non-Durables","Beverages (Production/Distribution)","nasdaq"
"CERP","Cereplast, Inc.","5816767.94","Basic Industries","Major Chemicals","nasdaq"
"CFFC","Community Financial Corp.","25995481.68","Finance","Savings Institutions","nasdaq"
"CGEI","China Growth Equity Investment Ltd.","61937500","Finance","Business Services","nasdaq"
"CGEIU","China Growth Equity Investment Ltd.","60000000","Finance","Business Services","nasdaq"
"CGEIW","China Growth Equity Investment Ltd.","0","Finance","Business Services","nasdaq"
"CHMG","Chemung Financial Corp","153398050.4","Finance","Major Banks","nasdaq"
"CIFC","CIFC Corp.","161089824.74","Finance","Finance: Consumer Services","nasdaq"
"CISAA","CIS Acquisition Ltd.","0","Finance","Business Services","nasdaq"
"CISAU","CIS Acquisition Ltd.","52782600","Finance","Business Services","nasdaq"
"CISAW","CIS Acquisition Ltd.","0","Finance","Business Services","nasdaq"
"CLACU","Capitol Acquisition Corp. II","151348500","Finance","Business Services","nasdaq"
"CMRG","Casual Male Retail Group, Inc.","193338047.49","Consumer Services","Clothing/Shoe/Accessory Stores","nasdaq"
"CMRX","Chimerix, Inc.","565122248.47","Health Care","Major Pharmaceuticals","nasdaq"
"CMVT","Comverse Technology, Inc.","1409670540.0756","Public Utilities","Telecommunications Equipment","nasdaq"
"CMVTV","Comverse Technology, Inc.","795804740.28","Public Utilities","Telecommunications Equipment","nasdaq"
"CNOB","ConnectOne Bancorp, Inc.","146918614.92","Finance","Major Banks","nasdaq"
"CNSI","Comverse Inc.","658338254.28","Miscellaneous","Business Services","nasdaq"
"CNSIV","Comverse Inc.","6451056000","n/a","n/a","nasdaq"
"COA           ","Coastal Contacts Inc                    ","188473414.8","Health Care","Ophthalmic Goods","nasdaq"
"CONE","CyrusOne Inc","454764128.34","Consumer Services","Real Estate Investment Trusts","nasdaq"
"CPNO","Copano Energy, L.L.C.","2298585096.75","Public Utilities","Natural Gas Distribution","nasdaq"
"CRBC","Citizens Republic Bancorp, Inc.","749323504.6","Finance","Major Banks","nasdaq"
"CRDN","Ceradyne, Inc.","840930129.39","Consumer Durables","Miscellaneous manufacturing industries","nasdaq"
"CTDC","China Technology Development Group Corporation","8774434.11","Technology","Computer Software: Prepackaged Software","nasdaq"
"CTEL","City Telecom (H.K.) Limited","41337881.86","Public Utilities","Telecommunications Equipment","nasdaq"
"CTFO","China TransInfo Technology Corp.","145302896.75","Technology","EDP Services","nasdaq"
"CUBI","Customers Bancorp, Inc","347480088","Finance","Major Banks","nasdaq"
"CYBI","Cybex International, Inc.","42000472.5","Consumer Non-Durables","Recreational Products/Toys","nasdaq"
"CYMI","Cymer, Inc.","2352083631.75","Technology","Industrial Machinery/Components","nasdaq"
"DEER","Deer Consumer Products, Inc.","75919190.12","Consumer Durables","Home Furnishings","nasdaq"
"DFR","CIFC Corp.","130336637.78","Finance","Finance: Consumer Services","nasdaq"
"DGRW","WisdomTree Trust WisdomTree U.S. Dividend Growth Fund","8624063.5596","n/a","n/a","nasdaq"
"DHFT","Diamond Hill Financial Trends Fund, Inc.","45792150.96","n/a","n/a","nasdaq"
"DIAL","Dial Global, Inc.","148244098.6","Consumer Services","Broadcasting","nasdaq"
"DITC","Ditech Networks, Inc.","38728746.72","Public Utilities","Telecommunications Equipment","nasdaq"
"DLGC","Dialogic, Inc.","32835910.2","Technology","EDP Services","nasdaq"
"DSKX","DS Healthcare Group, Inc.","26752030.8","Consumer Non-Durables","Package Goods/Cosmetics","nasdaq"
"DSTI","DayStar Technologies, Inc.","2904966.24","Technology","Semiconductors","nasdaq"
"DUSA","DUSA Pharmaceuticals, Inc.","159006410.88","Consumer Durables","Major Pharmaceuticals","nasdaq"
"DVCR","Diversicare Healthcare Services Inc.","27342703.44","Health Care","Hospital/Nursing Management","nasdaq"
"DVOX","DynaVox Inc.","4564151.98","Technology","EDP Services","nasdaq"
"DXLG","Destination XL Group, Inc.","247443025.49","Consumer Services","Clothing/Shoe/Accessory Stores","nasdaq"
"DXM","Dex Media, Inc.","0","Consumer Services","Advertising","nasdaq"
"EAC","Erickson Air-Crane Incorporated","72022275","Capital Goods","Aerospace","nasdaq"
"EAC           ","Erickson Air-Crane Incorporated","244683500.84","Capital Goods","Aerospace","nasdaq"
"EAGL","Global Eagle Acquisition Corp.","229068075.65","Finance","Business Services","nasdaq"
"EAGLU","Global Eagle Acquisition Corp.","176750000","Finance","Business Services","nasdaq"
"EAGLW","Global Eagle Acquisition Corp.","0","Finance","Business Services","nasdaq"
"EDAC","Edac Technologies Corporation","68902182.83","Capital Goods","Aerospace","nasdaq"
"EGT","Entertainment Gaming Asia Incorporated","54344638.22","Consumer Durables","Miscellaneous manufacturing industries","nasdaq"
"ELOQ","Eloqua, Inc.","647157782.8","Technology","Computer Software: Prepackaged Software","nasdaq"
"EMDR","ALPS ETF Trust VelocityShares Emerging Markets DR ETF","2450245","n/a","n/a","nasdaq"
"ENT","Global Eagle Entertainment Inc.","339384222.5","Finance","Business Services","nasdaq"
